park_code,location,reservation_required,pets_permitted,activities,amenities,do_fees_apply,park_states,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,season1,season2,season3,season4,park_id,park_url,park_latitude,park_longitude,park_designation,park_name,min_summer_temp,max_summer_temp,min_winter_temp,max_winter_temp,min_spring_temp,max_spring_temp,min_fall_temp,max_fall_temp
acad,Echo Lake Beach,False,True,"{id: 587BB2D3-EC35-41B2-B3F7-A39E2B088AEE, name: Swimming}",[],False,ME,Acadia National Park, Echo Lake, echo lake beach, west side, swimming, freshwater, great ponds,,,,,,,,,,Summer,,,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Cadillac Mountain,False,True,"{id: D37A0003-8317-4F04-8FB0-4CF0A272E195, name: Stargazing}",[],False,ME,stargazing, night skies, Acadia National Park, cadillac mountain, park loop road, East Side, mount desert island,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Acadia Mountain Loop,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad, Sargent and Penobscot Mountains from JPH,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Jordan Pond Loop,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Sieur de Monts to Jesup Path and Hemlock Road Loop,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Sieur de Monts to Sand Beach,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,"Beech Cliff Trail, Beech Cliff Loop, and Canada Cliffs Trail",False,False,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Great Head Trail,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,The Ocean Path Trail,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Bubble Pond to Jordan Pond via Pemetic Mountain,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Double Bubble Nubble Loop,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,The Gorge Path and the Cadillac North Ridge Trail,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Wonderland Trail,False,True,"{id: 0B685688-3405-4E2A-ABBA-E3069492EC50, name: Wildlife Watching}",[],False,ME,Acadia National Park, tidepooling, tidepools, mount desert island, west side, seawall, marine wildlife, coastal,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Precipice Trailhead,False,False,"{id: BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA, name: Hiking}",[],False,ME,Acadia National Park, mount desert island, East Side, park loop road, hiking, champlain mountain, summit, loops, precipice,,,,,,,,Spring, Fall,,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Cadillac Summit Road,True,True,"{id: 0B4A5320-216D-451A-9990-626E1D5ACE28, name: Scenic Driving}",[],True,ME,Acadia, Acadia National Park, drive, Scenic Drive, scenic, mount desert island, Cadillac, cadillac mountain, sunrise, sunset, reservation, vehicle reservation system, Mountain,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Compass Harbor,False,True,"{id: BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA, name: Hiking}",[],False,ME,Acadia National Park, mount desert island, Bar Harbor, East Side, Compass Harbor Trail, Frenchman Bay, less than half day, coastal, hiking, loops,,,,,,,Winter, Spring, Summer, Fall,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,,True,True,"{id: CA3641A0-FADC-497F-B036-3FE426D0DDCC, name: Geocaching}",[],True,ME,glaciers, geology, earthcaching,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Carriage Roads (throughout Acadia National Park),False,True,"{id: 7CE6E935-F839-4FEC-A63E-052B1DEF39D2, name: Biking}",[],False,ME,Acadia National Park, carriage roads, biking, bicycling, mount desert island, East Side, island explorer, Landscape Architecture, Landscape design, Roads,,,,,,,Winter, Spring, Summer, Fall,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Hike Village Green to Sieur de Monts with Island Explorer Bus,False,True,"{id: 45261C0A-00D8-4C27-A1F8-029F933A0D34, name: Front-Country Hiking}",[],False,ME,,,,,,,,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Paradise Hill Road Intersection,False,True,"{id: 0B4A5320-216D-451A-9990-626E1D5ACE28, name: Scenic Driving}",[],False,ME,Acadia, Acadia National Park, scenic, overlook, scenic overlook, Scenic Drive, driving, park loop road, mount desert island, island explorer,,,,,,,Winter, Spring, Summer, Fall,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Gorham Mountain Summit,False,True,"{id: BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA, name: Hiking}",[],False,ME,Acadia National Park, hiking, plaque, Sand Beach, park loop road, reservations required, mount desert island, coastal, summit, island explorer,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Jordan Pond House,False,True,"{id: C6D3230A-2CEA-4AFE-BFF3-DC1E2C2C4BB4, name: Picnicking}",[],False,ME,Acadia, lake, Pond, historic landscape, Carriage Road, picnic, dining,,,,,,,,,,Winter, Spring, Summer, Fall,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Long Pond South Boat Launch,False,True,"{id: 4D224BCA-C127-408B-AC75-A51563C42411, name: Paddling}",[],False,ME,Acadia, lake, ponds, lakes and ponds, long pond, great long pond, mount desert island, west side, Paddling, canoe, kayak, boat launch,,,,,,,,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Eagle Lake Boat Ramp,False,True,"{id: 4D224BCA-C127-408B-AC75-A51563C42411, name: Paddling}",[],False,ME,lakes, lakes and ponds, paddle, canoe, kayak, East Side, mount desert island, Eagle Lake, Acadia,,,,,,,,,,,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Ikes Point,False,True,"{id: 4D224BCA-C127-408B-AC75-A51563C42411, name: Paddling}",[],False,ME,Acadia, Paddling, paddle, canoe, kayak, paddleboard, lake, Echo Lake, boat ramp,,,,,,,,,,,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Jordan Pond Boat Ramp,False,True,"{id: 4D224BCA-C127-408B-AC75-A51563C42411, name: Paddling}",[],False,ME,Acadia, lakes and ponds, paddle, Paddling, mount desert island, kayak, canoe, boat ramp, Jordan Pond,,,,,,,,,,,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Great Head/Sand Beach,False,True,"{id: BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA, name: Hiking}",[],False,ME,great head trail, Sand Beach, historic structure, plaque, scenic view, ocean view, Maine, hike, hiking, park loop road, coastal, forest,,,,,Winter, Spring, Summer, Fall,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Ship Harbor Trailhead,False,True,"{id: BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA, name: Hiking}",[],False,ME,Acadia National Park, west side, mount desert island, seawall, hiking, coastal, less than half day,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Carriage Roads,False,True,"{id: BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA, name: Hiking}",[],False,ME,Acadia National Park, mount desert island, East Side, carriage roads, hiking,,,,,,,,,,,,Winter, Spring, Summer, Fall,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Carroll Homestead,False,True,"{id: A0631906-9672-4583-91DE-113B93DB6B6E, name: Self-Guided Tours - Walking}",[],False,ME,Acadia, historic, homestead, Family, family activities, Farm, 1800,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Cadillac Mountain,True,True,"{id: 5A2C91D1-50EC-4B24-8BED-A2E11A1892DF, name: Birdwatching}",[],False,ME,Acadia National Park, birdwatching, birding, cadillac mountain, East Side, park loop road, mount desert island,,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,,False,True,"{id: 5A2C91D1-50EC-4B24-8BED-A2E11A1892DF, name: Birdwatching}",[],False,ME,birds, research, science legacy, schoodic institute, birding, citizen science, history, hiking,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Otter Point Parking Area,False,True,"{id: 5A2C91D1-50EC-4B24-8BED-A2E11A1892DF, name: Birdwatching}",[],False,ME,Acadia National Park, park loop road, birding, birdwatching, East Side, mount desert island,,,,,,,,,,,Winter, Spring, Summer, Fall,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,The Beehive,False,False,"{id: BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA, name: Hiking}",[],False,ME,Acadia National Park, hiking, Sand Beach, ladders, reservations required, rungs, summit, park loop road, mount desert island, East Side,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Seawall Picnic Area,False,True,"{id: D37A0003-8317-4F04-8FB0-4CF0A272E195, name: Stargazing}",[],False,ME,stargazing, night skies, Acadia National Park, Photography, astronomy, seawall, west side, mount desert island,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Ship Harbor Trail,False,True,"{id: 0B685688-3405-4E2A-ABBA-E3069492EC50, name: Wildlife Watching}",[],False,ME,Acadia National Park, tidepooling, tidepools, mount desert island, west side, seawall, marine wildlife, coastal,,,,,,,,,Spring, Summer, Fall,,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
acad,Bar Island,False,True,"{id: BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA, name: Hiking}",[],False,ME,Acadia National Park, bar island, East Side, hiking, coastal, low tide, island explorer, mount desert island,,,,,,,,,Winter, Spring, Summer, Fall,6DA17C86-088E-4B4D-B862-7C1BD5CF236B,https://www.nps.gov/acad/index.htm,44.409286,-68.247501,National Park,Acadia National Park,51.1,72.9,17.6,29.2,8.6,27.8,46.5,62.2
